digital_state;sensor_value;voltage;magnetic_field_gauss;magnetic_field_millitesla
valor_sensor;voltaje;campo_gauss;campo_militeslas;distancia_metros
536;261.975;0.01629;0.00163;0.1
539;263.441;0.02444;0.00244;0.08
546;266.862;0.04345;0.00434;0.06
559;273.216;0.07875;0.00787;0.04
580;283.48;0.13577;0.01358;0.02
