Unnamed: 0,Muestra,Valor,Voltaje
0,0,1598,0.024383916990920882
1,1,1578,0.024078736552986955
2,2,1520,0.023193713282978562
3,3,1522,0.023224231326771955
4,4,1472,0.022461280231937133
5,5,1466,0.022369726100556955
6,6,1394,0.021271076523994813
7,7,1386,0.021149004348821242
8,8,1363,0.020798046845197222
9,9,1306,0.019928282597085525
10,10,1304,0.019897764553292133
11,11,1268,0.019348439765011063
12,12,1258,0.0191958495460441
13,13,1219,0.018600747692072938
14,14,1246,0.01901274128328374
15,15,1198,0.018280308232242314
16,16,1169,0.017837796597238116
17,17,1123,0.017135881589990083
18,18,1097,0.016739147020675974
19,19,1072,0.016357671473258565
20,20,1066,0.016266117341878387
21,21,1048,0.01599145494773785
22,22,1010,0.015411612115663387
23,23,1008,0.015381094071869994
24,24,1014,0.015472648203250172
25,25,952,0.014526588845654994
26,26,976,0.014892805371175709
27,27,914,0.01394674601358053
28,28,901,0.013748378728923476
29,29,880,0.013427939269092852
30,30,856,0.013061722743572137
31,31,840,0.012817578393224994
32,32,844,0.01287861448081178
33,33,822,0.01254291599908446
34,34,796,0.012146181429770352
35,35,780,0.011902037079423208
36,36,757,0.011551079575799192
37,37,748,0.011413748378728923
38,38,750,0.011444266422522316
39,39,732,0.011169604028381781
40,40,721,0.011001754787518121
41,41,684,0.010437170977340352
42,42,672,0.010254062714579995
43,43,692,0.010559243152513925
44,44,686,0.010467689021133745
45,45,661,0.010086213473716335
46,46,646,0.009857328145265888
47,47,632,0.009643701838712139
48,48,606,0.009246967269398032
49,49,606,0.009246967269398032
50,50,621,0.009475852597848477
51,51,589,0.008987563897154192
52,52,542,0.00827038986800946
53,53,542,0.00827038986800946
54,54,552,0.008422980086976424
55,55,537,0.008194094758525979
56,56,509,0.007766842145418479
57,57,518,0.007904173342488746
58,58,508,0.0077515831235217825
59,59,498,0.007598992904554818
60,60,492,0.00750743877317464
61,61,486,0.007415884641794461
62,62,466,0.007110704203860532
63,63,473,0.007217517357137408
64,64,461,0.007034409094377051
65,65,441,0.006729228656443122
66,66,468,0.007141222247653925
67,67,445,0.006790264744029908
68,68,466,0.007110704203860532
69,69,424,0.006469825284199283
70,70,425,0.00648508430609598
71,71,403,0.006149385824368658
72,72,400,0.006103608758678569
73,73,421,0.006424048218509193
74,74,412,0.006286717021438926
75,75,387,0.005905241474021515
76,76,385,0.005874723430228122
77,77,384,0.005859464408331426
78,78,357,0.005447470817120622
79,79,352,0.0053711757076371405
80,80,340,0.005188067444876783
81,81,358,0.005462729839017319
82,82,326,0.004974441138323033
83,83,342,0.005218585488670176
84,84,346,0.005279621576256962
85,85,314,0.004791332875562677
86,86,303,0.004623483634699016
87,87,326,0.004974441138323033
88,88,316,0.0048218509193560695
89,89,284,0.004333562218661784
90,90,308,0.004699778744182498
91,91,318,0.004852368963149462
92,92,276,0.004211490043488212
93,93,282,0.004303044174868391
94,94,301,0.004592965590905623
95,95,309,0.004715037766079194
96,96,293,0.004470893415732051
97,97,282,0.004303044174868391
98,98,289,0.004409857328145266
99,99,277,0.0042267490653849086
100,100,239,0.003646906233310445
101,101,256,0.003906309605554284
102,102,261,0.003982604715037766
103,103,258,0.003936827649347677
104,104,232,0.00354009308003357
105,105,254,0.0038757915617608912
106,106,250,0.0038147554741741053
107,107,244,0.003723201342793927
108,108,220,0.003356984817273213
109,109,206,0.003143358510719463
110,110,206,0.003143358510719463
111,111,240,0.0036621652552071412
112,112,228,0.0034790569924467844
113,113,218,0.00332646677347982
114,114,221,0.0033722438391699094
115,115,240,0.0036621652552071412
116,116,224,0.0034180209048599985
117,117,200,0.0030518043793392844
118,118,192,0.002929732204165713
119,119,186,0.0028381780727855343
120,120,219,0.003341725795376516
121,121,185,0.002822919050888838
122,122,200,0.0030518043793392844
123,123,210,0.0032043945983062485
124,124,208,0.0031738765545128557
125,125,194,0.0029602502479591057
126,126,196,0.002990768291752499
127,127,193,0.0029449912260624093
128,128,170,0.0025940337224383916
129,129,173,0.002639810788128481
130,130,200,0.0030518043793392844
131,131,174,0.0026550698100251775
132,132,139,0.0021210040436408025
133,133,176,0.0026855878538185702
134,134,152,0.002319371328297856
135,135,157,0.0023956664377813384
136,136,140,0.0021362630655374993
137,137,147,0.002243076218814374
138,138,160,0.0024414435034714275
139,139,196,0.002990768291752499
140,140,158,0.0024109254596780347
141,141,162,0.00247196154726482
142,142,176,0.0026855878538185702
143,143,162,0.00247196154726482
144,144,136,0.0020752269779507134
145,145,147,0.002243076218814374
146,146,157,0.0023956664377813384
147,147,145,0.002212558175020981
148,148,156,0.002380407415884642
149,149,154,0.002349889372091249
150,150,160,0.0024414435034714275
151,151,156,0.002380407415884642
152,152,148,0.0022583352407110706
153,153,148,0.0022583352407110706
154,154,142,0.002166781109330892
155,155,158,0.0024109254596780347
156,156,149,0.002273594262607767
157,157,136,0.0020752269779507134
158,158,150,0.0022888532845044634
159,159,148,0.0022583352407110706
160,160,140,0.0021362630655374993
161,161,131,0.001998931868467231
162,162,132,0.002014190890363928
163,163,161,0.002456702525368124
164,164,116,0.001770046540016785
165,165,128,0.001953154802777142
166,166,136,0.0020752269779507134
167,167,149,0.002273594262607767
168,168,126,0.0019226367589837492
169,169,109,0.00166323338673991
170,170,144,0.0021972991531242847
171,171,160,0.0024414435034714275
172,172,113,0.0017242694743266956
173,173,120,0.0018310826276035706
174,174,111,0.0016937514305333029
175,175,120,0.0018310826276035706
176,176,136,0.0020752269779507134
177,177,110,0.0016784924086366065
178,178,122,0.0018616006713969636
179,179,118,0.0018005645838101779
180,180,121,0.001846341649500267
181,181,116,0.001770046540016785
182,182,124,0.0018921187151903563
183,183,100,0.0015259021896696422
184,184,124,0.0018921187151903563
185,185,108,0.0016479743648432135
186,186,129,0.0019684138246738384
187,187,109,0.00166323338673991
188,188,119,0.0018158236057068742
189,189,122,0.0018616006713969636
190,190,116,0.001770046540016785
191,191,106,0.0016174563210498208
192,192,112,0.0017090104524299992
193,193,108,0.0016479743648432135
194,194,104,0.0015869382772564279
195,195,116,0.001770046540016785
196,196,129,0.0019684138246738384
197,197,104,0.0015869382772564279
198,198,108,0.0016479743648432135
199,199,100,0.0015259021896696422
200,200,97,0.0014801251239795529
201,201,96,0.0014648661020828565
202,202,112,0.0017090104524299992
203,203,142,0.002166781109330892
204,204,113,0.0017242694743266956
205,205,111,0.0016937514305333029
206,206,102,0.0015564202334630351
207,207,105,0.0016021972991531242
208,208,108,0.0016479743648432135
209,209,94,0.0014343480582894638
210,210,115,0.0017547875181200886
211,211,83,0.001266498817425803
212,212,88,0.0013427939269092851
213,213,97,0.0014801251239795529
214,214,88,0.0013427939269092851
215,215,104,0.0015869382772564279
216,216,113,0.0017242694743266956
217,217,80,0.0012207217517357137
218,218,122,0.0018616006713969636
219,219,126,0.0019226367589837492
220,220,113,0.0017242694743266956
221,221,117,0.0017853055619134813
222,222,96,0.0014648661020828565
223,223,96,0.0014648661020828565
224,224,74,0.0011291676203555353
225,225,115,0.0017547875181200886
226,226,79,0.0012054627298390174
227,227,69,0.001052872510872053
228,228,100,0.0015259021896696422
229,229,101,0.0015411612115663385
230,230,90,0.001373311970702678
231,231,105,0.0016021972991531242
232,232,80,0.0012207217517357137
233,233,106,0.0016174563210498208
234,234,108,0.0016479743648432135
235,235,95,0.0014496070801861601
236,236,88,0.0013427939269092851
237,237,122,0.0018616006713969636
238,238,110,0.0016784924086366065
239,239,104,0.0015869382772564279
240,240,101,0.0015411612115663385
241,241,89,0.0013580529488059815
242,242,95,0.0014496070801861601
243,243,98,0.0014953841458762494
244,244,100,0.0015259021896696422
245,245,96,0.0014648661020828565
246,246,73,0.0011139085984588387
247,247,83,0.001266498817425803
248,248,112,0.0017090104524299992
249,249,96,0.0014648661020828565
250,250,86,0.0013122758831158924
251,251,92,0.0014038300144960708
252,252,90,0.001373311970702678
253,253,80,0.0012207217517357137
254,254,88,0.0013427939269092851
255,255,88,0.0013427939269092851
256,256,396,0.006042572671091783
257,257,644,0.009826810101472495
258,258,892,0.013611047531853208
259,259,1120,0.017090104524299994
260,260,1370,0.020904859998474096
261,261,1603,0.024460212100404364
262,262,1804,0.027527275501640344
263,263,2042,0.031158922713054094
264,264,2264,0.0345464255741207
265,265,2480,0.03784237430380712
266,266,2664,0.04065003433279927
267,267,2862,0.04367132066834516
268,268,3048,0.046509498741130695
269,269,3241,0.0494544899671931
270,270,3408,0.05200274662394141
271,271,3567,0.05442893110551614
272,272,3780,0.05767910276951248
273,273,3943,0.06016632333867399
274,274,4120,0.06286717021438926
275,275,4266,0.06509498741130694
276,276,4414,0.067353322652018
277,277,4596,0.07013046463721676
278,278,4748,0.07244983596551462
279,279,4889,0.0746013580529488
280,280,5040,0.07690547035934997
281,281,5141,0.0784466315709163
282,282,5308,0.08099488822766461
283,283,5453,0.08320744640268558
284,284,5560,0.08484016174563211
285,285,5704,0.08703746089875639
286,286,5842,0.0891432059205005
287,287,5989,0.09138628213931486
288,288,6084,0.09283588921950103
289,289,6184,0.09436179140917067
290,290,6310,0.09628442816815443
291,291,6429,0.0981002517738613
292,292,6532,0.09967193102922103
293,293,6672,0.10180819409475853
294,294,6756,0.10308995193408102
295,295,6849,0.1045090409704738
296,296,6938,0.10586709391927977
297,297,7084,0.10809491111619746
298,298,7140,0.10894941634241245
299,299,7238,0.1104448004882887
300,300,7340,0.11200122072175174
301,301,7424,0.11328297856107424
302,302,7516,0.1146868085755703
303,303,7616,0.11621271076523995
304,304,7690,0.11734187838559548
305,305,7768,0.1185320820935378
306,306,7837,0.11958495460440986
307,307,7952,0.12133974212252994
308,308,8034,0.12259098191805905
309,309,8092,0.12347600518806745
310,310,8161,0.1245288776989395
311,311,8216,0.1253681239032578
312,312,8285,0.12642099641412985
313,313,8364,0.12762645914396886
314,314,8413,0.12837415121690698
315,315,8508,0.12982375829709317
316,316,8567,0.13072404058899825
317,317,8624,0.13159380483710995
318,318,8694,0.1326619363698787
319,319,8760,0.13366903181506065
320,320,8797,0.13423361562523842
321,321,8876,0.13543907835507743
322,322,8924,0.13617151140611886
323,323,8982,0.13705653467612727
324,324,9044,0.13800259403372245
325,325,9090,0.13870450904097048
326,326,9116,0.1391012436102846
327,327,9170,0.1399252307927062
328,328,9217,0.14064240482185092
329,329,9288,0.14172579537651636
330,330,9326,0.14230563820859082
331,331,9362,0.1428549629968719
332,332,9404,0.14349584191653314
333,333,9480,0.1446555275806821
334,334,9503,0.1450064850843061
335,335,9563,0.1459220263981079
336,336,9584,0.14624246585793851
337,337,9662,0.14743266956588083
338,338,9664,0.14746318760967422
339,339,9720,0.14831769283588922
340,340,9748,0.14874494544899672
341,341,9774,0.14914168001831082
342,342,9818,0.14981307698176546
343,343,9814,0.14975204089417868
344,344,9903,0.15111009384298466
345,345,9946,0.1517662317845426
346,346,9966,0.15207141222247653
347,347,9998,0.15255970092317084
348,348,10022,0.15292591744869155
349,349,10053,0.15339894712748914
350,350,10092,0.1539940489814603
351,351,10108,0.15423819333180744
352,352,10138,0.15469596398870833
353,353,10174,0.1552452887769894
354,354,10213,0.15584039063096056
355,355,10232,0.1561303120469978
356,356,10240,0.15625238422217136
357,357,10280,0.1568627450980392
358,358,10322,0.15750362401770046
359,359,10347,0.15788509956511787
360,360,10366,0.1581750209811551
361,361,10404,0.15875486381322956
362,362,10410,0.15884641794460974
363,363,10433,0.15919737544823376
364,364,10471,0.15977721828030822
365,365,10490,0.16006713969634545
366,366,10508,0.160341802090486
367,367,10496,0.16015869382772566
368,368,10568,0.1612573434042878
369,369,10554,0.16104371709773405
370,370,10592,0.1616235599298085
371,371,10611,0.16191348134584574
372,372,10638,0.16232547493705654
373,373,10641,0.16237125200274663
374,374,10643,0.16240177004654002
375,375,10673,0.1628595407034409
376,376,10676,0.162905317769131
377,377,10717,0.16353093766689555
378,378,10761,0.1642023346303502
379,379,10786,0.1645838101777676
380,380,10788,0.164614328221561
381,381,10774,0.16440070191500725
382,382,10806,0.16488899061570153
383,383,10818,0.1650720988784619
384,384,10846,0.16549935149156939
385,385,10856,0.16565194171053635
386,386,10866,0.1658045319295033
387,387,10875,0.16594186312657358
388,388,10899,0.1663080796520943
389,389,10929,0.16676585030899518
390,390,10900,0.166323338673991
391,391,10944,0.16699473563744563
392,392,10928,0.1667505912870985
393,393,10968,0.16736095216296634
394,394,10948,0.16705577172503241
395,395,10979,0.16752880140383
396,396,10976,0.1674830243381399
397,397,11024,0.16821545738918137
398,398,11033,0.16835278858625163
399,399,11034,0.16836804760814833
400,400,11022,0.16818493934538797
401,401,11064,0.16882581826504922
402,402,11074,0.16897840848401618
403,403,11065,0.16884107728694592
404,404,11073,0.1689631494621195
405,405,11086,0.16916151674677654
406,406,11092,0.16925307087815672
407,407,11097,0.1693293659876402
408,408,11116,0.16961928740367743
409,409,11142,0.17001602197299154
410,410,11132,0.16986343175402457
411,411,11162,0.17032120241092547
412,412,11149,0.1701228351262684
413,413,11182,0.1706263828488594
414,414,11162,0.17032120241092547
415,415,11199,0.17088578622110323
416,416,11197,0.17085526817730984
417,417,11203,0.17094682230869002
418,418,11209,0.1710383764400702
419,419,11222,0.17123674372472725
420,420,11228,0.17132829785610743
421,421,11234,0.1714198519874876
422,422,11224,0.17126726176852064
423,423,11234,0.1714198519874876
424,424,11235,0.1714351110093843
425,425,11241,0.17152666514076448
426,426,11245,0.17158770122835126
427,427,11241,0.17152666514076448
428,428,11250,0.17166399633783475
429,429,11250,0.17166399633783475
430,430,11285,0.17219806210421912
431,431,11316,0.1726710917830167
432,432,11313,0.17262531471732662
433,433,11316,0.1726710917830167
434,434,11288,0.1722438391699092
435,435,11284,0.17218280308232242
436,436,11312,0.17261005569542992
437,437,11335,0.17296101319905394
438,438,11297,0.17238117036697947
439,439,11318,0.1727016098268101
440,440,11325,0.17280842298008697
441,441,11319,0.1727168688487068
442,442,11322,0.17276264591439688
443,443,11332,0.17291523613336385
444,444,11340,0.17303730830853742
445,445,11348,0.173159380483711
446,446,11333,0.17293049515526054
447,447,11354,0.17325093461509117
448,448,11358,0.17331197070267795
449,449,11374,0.1735561150530251
450,450,11374,0.1735561150530251
451,451,11412,0.17413595788509956
452,452,11375,0.1735713740749218
453,453,11381,0.17366292820630197
454,454,11391,0.17381551842526893
455,455,11400,0.1739528496223392
456,456,11412,0.17413595788509956
457,457,11433,0.17445639734493018
458,458,11392,0.17383077744716563
459,459,11419,0.17424277103837643
460,460,11429,0.1743953612573434
461,461,11411,0.17412069886320286
462,462,11434,0.17447165636682688
463,463,11437,0.17451743343251697
464,464,11426,0.1743495841916533
465,465,11433,0.17445639734493018
466,466,11439,0.17454795147631036
467,467,11434,0.17447165636682688
468,468,11449,0.17470054169527732
469,469,11440,0.17456321049820706
470,470,11456,0.1748073548485542
471,471,11475,0.17509727626459143
472,472,11454,0.1747768368047608
473,473,11461,0.17488364995803768
474,474,11444,0.17462424658579384
475,475,11461,0.17488364995803768
476,476,11498,0.17544823376821544
477,477,11479,0.1751583123521782
478,478,11465,0.17494468604562446
479,479,11466,0.17495994506752116
480,480,11486,0.1752651255054551
481,481,11497,0.17543297474631875
482,482,11452,0.1747463187609674
483,483,11461,0.17488364995803768
484,484,11494,0.17538719768062866
485,485,11454,0.1747768368047608
486,486,11458,0.1748378728923476
487,487,11485,0.1752498664835584
488,488,11504,0.17553978789959562
489,489,11446,0.17465476462958723
490,490,11496,0.17541771572442205
491,491,11491,0.17534142061493857
492,492,11469,0.17500572213321125
493,493,11488,0.17529564354924848
494,494,11494,0.17538719768062866
495,495,11504,0.17553978789959562
496,496,11483,0.175219348439765
497,497,11518,0.17575341420614937
498,498,11524,0.17584496833752958
499,499,11510,0.1756313420309758
500,500,11500,0.17547875181200884
501,501,11495,0.17540245670252536
502,502,11520,0.1757839322499428
503,503,11508,0.1756008239871824
504,504,11526,0.17587548638132297
505,505,11535,0.17601281757839324
506,506,11504,0.17553978789959562
507,507,11488,0.17529564354924848
508,508,11512,0.1756618600747692
509,509,11531,0.17595178149080645
510,510,11521,0.1757991912718395
511,511,11526,0.17587548638132297
512,512,11501,0.17549401083390553
513,513,11213,0.17109941252765698
514,514,10974,0.16745250629434652
515,515,10742,0.16391241321431296
516,516,10469,0.15974670023651483
517,517,10270,0.15671015487907225
518,518,10006,0.1526817730983444
519,519,9789,0.14937056534676127
520,520,9560,0.1458762493324178
521,521,9346,0.14261081864652475
522,522,9154,0.13968108644235905
523,523,8944,0.13647669184405278
524,524,8746,0.1334554055085069
525,525,8538,0.13028152895399406
526,526,8363,0.12761120012207217
527,527,8137,0.12416266117341879
528,528,7986,0.12185854886701762
529,529,7791,0.11888303959716182
530,530,7649,0.11671625848783093
531,531,7472,0.11401541161211566
532,532,7276,0.11102464332036316
533,533,7156,0.1091935606927596
534,534,6964,0.10626382848859388
535,535,6804,0.10382238498512246
536,536,6669,0.10176241702906844
537,537,6506,0.09927519645990691
538,538,6356,0.09698634317540246
539,539,6250,0.09536888685435263
540,540,6099,0.09306477454795148
541,541,5946,0.09073014419775692
542,542,5840,0.0891126878767071
543,543,5696,0.08691538872358281
544,544,5557,0.08479438467994202
545,545,5438,0.08297856107423514
546,546,5328,0.08130006866559854
547,547,5206,0.07943846799420157
548,548,5064,0.07727168688487068
549,549,4964,0.07574578469520103
550,550,4848,0.07397573815518425
551,551,4754,0.0725413900968948
552,552,4634,0.07071030746929122
553,553,4532,0.06915388723582819
554,554,4463,0.06810101472495612
555,555,4356,0.06646829938200961
556,556,4254,0.06491187914854658
557,557,4168,0.06359960326543068
558,558,4057,0.061905851834897385
559,559,3972,0.06060883497367819
560,560,3899,0.059494926375219345
561,561,3804,0.05804531929503319
562,562,3725,0.05683985656519417
563,563,3640,0.05554283970397497
564,564,3545,0.05409323262378882
565,565,3506,0.05349813076981765
566,566,3435,0.05241474021515221
567,567,3328,0.05078202487220569
568,568,3248,0.049561303120469975
569,569,3194,0.04873731593804837
570,570,3113,0.04750133516441596
571,571,3062,0.046723125047684444
572,572,2993,0.04567025253681239
573,573,2896,0.04419012741283284
574,574,2836,0.04327458609903105
575,575,2815,0.04295414663920043
576,576,2744,0.04187075608453498
577,577,2656,0.0405279621576257
578,578,2600,0.039673456931410694
579,579,2574,0.03927672236209659
580,580,2510,0.03830014496070802
581,581,2438,0.037201495384145876
582,582,2396,0.03656061646448463
583,583,2342,0.03573662928206302
584,584,2320,0.0354009308003357
585,585,2218,0.03384451056687266
586,586,2196,0.03350881208514534
587,587,2129,0.032486457618066684
