duracion_us,temperatura_C,humedad_pct,velocidad_m_s
1698.0,25.0,56.1,353.35689045936397
1725.0,25.0,56.1,347.82608695652175
1704.0,25.0,56.1,352.112676056338
1752.0,25.0,56.1,342.4657534246575
1691.0,28.0,52.9,354.8196333530455
1654.0,28.0,52.9,362.75695284159616
1654.0,28.0,52.9,362.75695284159616
1674.0,28.0,52.9,358.42293906810033
1675.0,28.7,51.5,358.2089552238806
1670.0,28.7,51.5,359.28143712574854
1654.0,28.7,51.5,362.75695284159616
1681.0,28.7,51.5,356.9303985722784
1632.0,31.2,48.5,367.6470588235294
1648.0,31.2,48.5,364.07766990291265
1670.0,31.2,48.5,359.28143712574854
1664.0,31.2,48.5,360.5769230769231
1642.0,33.5,44.5,365.4080389768575
1646.0,33.5,44.5,364.52004860267317
1670.0,33.5,44.5,359.28143712574854
1669.0,33.5,44.5,359.49670461354106
1669.0,36.8,39.1,359.49670461354106
1664.0,36.8,39.1,360.5769230769231
1642.0,36.8,39.1,365.4080389768575
1685.0,36.8,39.1,356.0830860534125
1664.0,39.8,33.9,360.5769230769231
1631.0,39.8,33.9,367.87247087676275
1664.0,39.8,33.9,360.5769230769231
1669.0,39.8,33.9,359.49670461354106
1701.0,42.8,29.0,352.73368606701945
1652.0,42.8,29.0,363.19612590799034
1652.0,42.8,29.0,363.19612590799034
1695.0,42.8,29.0,353.98230088495575
1680.0,45.4,24.4,357.14285714285717
1655.0,45.4,24.4,362.53776435045313
1629.0,45.4,24.4,368.3241252302026
1843.0,45.4,24.4,325.5561584373304
1651.0,47.4,20.0,363.41611144760753
1646.0,47.4,20.0,364.52004860267317
1694.0,47.4,20.0,354.1912632821724
1651.0,47.4,20.0,363.41611144760753
1673.0,49.6,17.0,358.63717872086073
1695.0,49.6,17.0,353.98230088495575
1645.0,49.6,17.0,364.741641337386
1694.0,49.6,17.0,354.1912632821724
1672.0,51.5,14.1,358.85167464114835
1676.0,51.5,14.1,357.99522673031026
1699.0,51.5,14.1,353.1489111241907
1671.0,51.5,14.1,359.0664272890485
1666.0,53.3,10.0,360.1440576230492
1650.0,53.3,10.0,363.6363636363636
1644.0,53.3,10.0,364.9635036496351
1622.0,53.3,10.0,369.9136868064118
1720.0,54.7,10.0,348.83720930232556
1644.0,54.7,10.0,364.9635036496351
1649.0,54.7,10.0,363.85688295936933
1644.0,54.7,10.0,364.9635036496351
1644.0,56.1,10.0,364.9635036496351
1686.0,56.1,10.0,355.8718861209964
1688.0,56.1,10.0,355.45023696682466
1638.0,56.1,10.0,366.3003663003663
1616.0,57.3,10.0,371.28712871287127
1644.0,57.3,10.0,364.9635036496351
1692.0,57.3,10.0,354.6099290780142
1643.0,57.3,10.0,365.18563603164944
1627.0,58.2,10.0,368.77688998156117
1643.0,58.2,10.0,365.18563603164944
1627.0,58.2,10.0,368.77688998156117
1670.0,58.2,10.0,359.28143712574854
1632.0,59.5,10.0,367.6470588235294
1605.0,59.5,10.0,373.8317757009346
1626.0,59.5,10.0,369.00369003690037
1632.0,59.5,10.0,367.6470588235294
1654.0,60.9,10.0,362.75695284159616
1659.0,60.9,10.0,361.6636528028933
1631.0,60.9,10.0,367.87247087676275
1610.0,60.9,10.0,372.67080745341616
1632.0,62.0,10.0,367.6470588235294
1713.0,62.0,10.0,350.2626970227671
1681.0,62.0,10.0,356.9303985722784
1692.0,62.0,10.0,354.6099290780142
1697.0,62.7,10.0,353.56511490866234
