duracion_us,temperatura_C,humedad_pct,velocidad_m_s
1720.0,28.3,43.5,348.83720930232556
1747.0,28.3,43.5,343.4459072696051
1746.0,28.3,43.5,343.64261168384877
1746.0,28.3,43.5,343.64261168384877
1720.0,28.2,44.9,348.83720930232556
1698.0,28.2,44.9,353.35689045936397
1665.0,28.2,44.9,360.36036036036035
1697.0,28.2,44.9,353.56511490866234
1648.0,28.3,44.9,364.07766990291265
1670.0,28.3,44.9,359.28143712574854
1665.0,28.3,44.9,360.36036036036035
1665.0,28.3,44.9,360.36036036036035
1657.0,29.1,44.5,362.10018105009055
1663.0,29.1,44.5,360.7937462417318
1657.0,29.1,44.5,362.10018105009055
1702.0,29.1,44.5,352.5264394829612
1652.0,30.9,42.9,363.19612590799034
1675.0,30.9,42.9,358.2089552238806
1674.0,30.9,42.9,358.42293906810033
1630.0,30.9,42.9,368.09815950920245
1668.0,33.3,40.5,359.71223021582733
1647.0,33.3,40.5,364.2987249544626
1647.0,33.3,40.5,364.2987249544626
1647.0,33.3,40.5,364.2987249544626
1646.0,35.7,37.7,364.52004860267317
1669.0,35.7,37.7,359.49670461354106
1641.0,35.7,37.7,365.63071297989035
1646.0,35.7,37.7,364.52004860267317
1641.0,38.0,34.5,365.63071297989035
1668.0,38.0,34.5,359.71223021582733
1641.0,38.0,34.5,365.63071297989035
1663.0,38.0,34.5,360.7937462417318
1641.0,40.4,31.1,365.63071297989035
1662.0,40.4,31.1,361.01083032490976
1640.0,40.4,31.1,365.8536585365854
1635.0,40.4,31.1,366.9724770642202
1635.0,42.6,27.5,366.9724770642202
1645.0,42.6,27.5,364.741641337386
1613.0,42.6,27.5,371.97768133911967
1640.0,42.6,27.5,365.8536585365854
1634.0,44.8,23.7,367.19706242350065
1640.0,44.8,23.7,365.8536585365854
1640.0,44.8,23.7,365.8536585365854
1640.0,44.8,23.7,365.8536585365854
1639.0,46.8,20.2,366.07687614399026
1660.0,46.8,20.2,361.4457831325301
1671.0,46.8,20.2,359.0664272890485
1617.0,46.8,20.2,371.0575139146568
1634.0,48.5,17.6,367.19706242350065
1634.0,48.5,17.6,367.19706242350065
1666.0,48.5,17.6,360.1440576230492
1639.0,48.5,17.6,366.07687614399026
1623.0,51.0,15.3,369.68576709796673
1628.0,51.0,15.3,368.55036855036855
1694.0,51.0,15.3,354.1912632821724
1656.0,51.0,15.3,362.3188405797101
1650.0,53.0,12.0,363.6363636363636
1655.0,53.0,12.0,362.53776435045313
1655.0,53.0,12.0,362.53776435045313
1655.0,53.0,12.0,362.53776435045313
1627.0,54.6,10.0,368.77688998156117
1655.0,54.6,10.0,362.53776435045313
1644.0,54.6,10.0,364.9635036496351
1638.0,54.6,10.0,366.3003663003663
1666.0,56.6,10.0,360.1440576230492
1654.0,56.6,10.0,362.75695284159616
1633.0,56.6,10.0,367.4219228413962
1611.0,56.6,10.0,372.43947858472995
1637.0,59.2,10.0,366.52412950519243
1588.0,59.2,10.0,377.8337531486146
1616.0,59.2,10.0,371.28712871287127
1671.0,59.2,10.0,359.0664272890485
1616.0,62.0,10.0,371.28712871287127
1615.0,62.0,10.0,371.5170278637771
1643.0,62.0,10.0,365.18563603164944
1620.0,62.0,10.0,370.3703703703704
1604.0,63.9,10.0,374.0648379052369
1637.0,63.9,10.0,366.52412950519243
1670.0,63.9,10.0,359.28143712574854
1632.0,63.9,10.0,367.6470588235294
1648.0,65.4,10.0,364.07766990291265
1632.0,65.4,10.0,367.6470588235294
1610.0,65.4,10.0,372.67080745341616
1652.0,65.4,10.0,363.19612590799034
1652.0,66.4,10.0,363.19612590799034
1659.0,66.4,10.0,361.6636528028933
