duracion_us,temperatura_C,humedad_pct,velocidad_m_s
1725.0,27.4,45.6,347.82608695652175
1747.0,27.4,45.6,343.4459072696051
1725.0,27.4,45.6,347.82608695652175
1725.0,27.4,45.6,347.82608695652175
1659.0,27.3,46.2,361.6636528028933
1665.0,27.3,46.2,360.36036036036035
1659.0,27.3,46.2,361.6636528028933
1659.0,27.3,46.2,361.6636528028933
1686.0,27.4,46.4,355.8718861209964
1660.0,27.4,46.4,361.4457831325301
1658.0,27.4,46.4,361.8817852834741
1681.0,27.4,46.4,356.9303985722784
1658.0,29.2,46.2,361.8817852834741
1653.0,29.2,46.2,362.9764065335753
1653.0,29.2,46.2,362.9764065335753
1662.0,29.2,46.2,361.01083032490976
1634.0,31.5,44.3,367.19706242350065
1636.0,31.5,44.3,366.7481662591687
1673.0,31.5,44.3,358.63717872086073
1647.0,31.5,44.3,364.2987249544626
1645.0,34.3,41.1,364.741641337386
1668.0,34.3,41.1,359.71223021582733
1647.0,34.3,41.1,364.2987249544626
1647.0,34.3,41.1,364.2987249544626
1674.0,36.4,37.3,358.42293906810033
1678.0,36.4,37.3,357.56853396901073
1694.0,36.4,37.3,354.1912632821724
1630.0,36.4,37.3,368.09815950920245
1672.0,39.0,33.3,358.85167464114835
1727.0,39.0,33.3,347.4232773595831
1650.0,39.0,33.3,363.6363636363636
1651.0,39.0,33.3,363.41611144760753
1688.0,41.5,29.3,355.45023696682466
1640.0,41.5,29.3,365.8536585365854
1640.0,41.5,29.3,365.8536585365854
1662.0,41.5,29.3,361.01083032490976
1640.0,44.0,25.1,365.8536585365854
1640.0,44.0,25.1,365.8536585365854
1660.0,44.0,25.1,361.4457831325301
1666.0,44.0,25.1,360.1440576230492
1639.0,46.2,21.1,366.07687614399026
1715.0,46.2,21.1,349.8542274052478
1634.0,46.2,21.1,367.19706242350065
1682.0,46.2,21.1,356.718192627824
1633.0,48.5,18.0,367.4219228413962
1660.0,48.5,18.0,361.4457831325301
1661.0,48.5,18.0,361.2281757977122
1617.0,48.5,18.0,371.0575139146568
1660.0,50.5,15.4,361.4457831325301
1660.0,50.5,15.4,361.4457831325301
1661.0,50.5,15.4,361.2281757977122
1638.0,50.5,15.4,366.3003663003663
1682.0,52.1,12.7,356.718192627824
1639.0,52.1,12.7,366.07687614399026
1682.0,52.1,12.7,356.718192627824
1611.0,52.1,12.7,372.43947858472995
1633.0,53.8,10.0,367.4219228413962
1660.0,53.8,10.0,361.4457831325301
1681.0,53.8,10.0,356.9303985722784
1659.0,53.8,10.0,361.6636528028933
1639.0,55.4,10.0,366.07687614399026
1819.0,55.4,10.0,329.8515667949423
1660.0,55.4,10.0,361.4457831325301
1638.0,55.4,10.0,366.3003663003663
1643.0,56.6,10.0,365.18563603164944
1621.0,56.6,10.0,370.1418877236274
1632.0,56.6,10.0,367.6470588235294
1643.0,56.6,10.0,365.18563603164944
1680.0,58.2,10.0,357.14285714285717
1637.0,58.2,10.0,366.52412950519243
1643.0,58.2,10.0,365.18563603164944
1638.0,58.2,10.0,366.3003663003663
1664.0,60.0,10.0,360.5769230769231
1681.0,60.0,10.0,356.9303985722784
1659.0,60.0,10.0,361.6636528028933
1637.0,60.0,10.0,366.52412950519243
1658.0,61.2,10.0,361.8817852834741
1659.0,61.2,10.0,361.6636528028933
1636.0,61.2,10.0,366.7481662591687
1625.0,61.2,10.0,369.2307692307692
1651.0,62.7,10.0,363.41611144760753
1614.0,62.7,10.0,371.74721189591077
1822.0,62.7,10.0,329.30845225027446
1587.0,62.7,10.0,378.07183364839324
1653.0,63.7,10.0,362.9764065335753
1631.0,63.7,10.0,367.87247087676275
1609.0,63.7,10.0,372.9024238657551
1686.0,63.7,10.0,355.8718861209964
1626.0,65.4,10.0,369.00369003690037
1603.0,65.4,10.0,374.2981908920774
1624.0,65.4,10.0,369.4581280788177
1608.0,65.4,10.0,373.13432835820896
1630.0,67.2,10.0,368.09815950920245
1695.0,67.2,10.0,353.98230088495575
1624.0,67.2,10.0,369.4581280788177
1603.0,67.2,10.0,374.2981908920774
1628.0,69.0,10.0,368.55036855036855
1607.0,69.0,10.0,373.366521468575
1771.0,69.0,10.0,338.7916431394692
1640.0,69.0,10.0,365.8536585365854
1684.0,70.7,10.0,356.29453681710214
