duracion_us,temperatura_C,humedad_pct,velocidad_m_s
1725.0,27.4,53.1,347.82608695652175
1725.0,27.4,53.1,347.82608695652175
1725.0,27.4,53.1,347.82608695652175
1725.0,27.4,53.1,347.82608695652175
1698.0,27.2,51.1,353.35689045936397
1687.0,27.2,51.1,355.66093657379963
1638.0,27.2,51.1,366.3003663003663
1659.0,27.2,51.1,361.6636528028933
1675.0,27.2,51.3,358.2089552238806
1682.0,27.2,51.3,356.718192627824
1660.0,27.2,51.3,361.4457831325301
1648.0,27.2,51.3,364.07766990291265
1653.0,29.1,50.1,362.9764065335753
1631.0,29.1,50.1,367.87247087676275
1681.0,29.1,50.1,356.9303985722784
1658.0,29.1,50.1,361.8817852834741
1674.0,32.2,46.5,358.42293906810033
1674.0,32.2,46.5,358.42293906810033
1669.0,32.2,46.5,359.49670461354106
1652.0,32.2,46.5,363.19612590799034
1635.0,35.4,41.8,366.9724770642202
1674.0,35.4,41.8,358.42293906810033
1646.0,35.4,41.8,364.52004860267317
1646.0,35.4,41.8,364.52004860267317
1673.0,38.7,36.7,358.63717872086073
1645.0,38.7,36.7,364.741641337386
1646.0,38.7,36.7,364.52004860267317
1646.0,38.7,36.7,364.52004860267317
1645.0,41.6,31.6,364.741641337386
1641.0,41.6,31.6,365.63071297989035
1640.0,41.6,31.6,365.8536585365854
1662.0,41.6,31.6,361.01083032490976
1640.0,43.5,26.6,365.8536585365854
1639.0,43.5,26.6,366.07687614399026
1662.0,43.5,26.6,361.01083032490976
1684.0,43.5,26.6,356.29453681710214
1717.0,45.4,22.5,349.44670937682
1667.0,45.4,22.5,359.9280143971206
1662.0,45.4,22.5,361.01083032490976
1640.0,45.4,22.5,365.8536585365854
1661.0,47.2,19.0,361.2281757977122
1661.0,47.2,19.0,361.2281757977122
1661.0,47.2,19.0,361.2281757977122
1634.0,47.2,19.0,367.19706242350065
1644.0,49.1,16.8,364.9635036496351
1661.0,49.1,16.8,361.2281757977122
1667.0,49.1,16.8,359.9280143971206
1633.0,49.1,16.8,367.4219228413962
1660.0,50.8,14.3,361.4457831325301
1661.0,50.8,14.3,361.2281757977122
1705.0,50.8,14.3,351.9061583577713
1638.0,50.8,14.3,366.3003663003663
1661.0,52.3,10.0,361.2281757977122
1660.0,52.3,10.0,361.4457831325301
1709.0,52.3,10.0,351.0825043885313
1617.0,52.3,10.0,371.0575139146568
1660.0,53.9,10.0,361.4457831325301
1655.0,53.9,10.0,362.53776435045313
1655.0,53.9,10.0,362.53776435045313
1655.0,53.9,10.0,362.53776435045313
1654.0,55.3,10.0,362.75695284159616
1633.0,55.3,10.0,367.4219228413962
1709.0,55.3,10.0,351.0825043885313
1633.0,55.3,10.0,367.4219228413962
1660.0,56.8,10.0,361.4457831325301
1616.0,56.8,10.0,371.28712871287127
1655.0,56.8,10.0,362.53776435045313
1660.0,56.8,10.0,361.4457831325301
1675.0,58.3,10.0,358.2089552238806
1627.0,58.3,10.0,368.77688998156117
1616.0,58.3,10.0,371.28712871287127
1638.0,58.3,10.0,366.3003663003663
1616.0,60.9,10.0,371.28712871287127
1615.0,60.9,10.0,371.5170278637771
1620.0,60.9,10.0,370.3703703703704
1615.0,60.9,10.0,371.5170278637771
1647.0,61.2,10.0,364.2987249544626
1626.0,61.2,10.0,369.00369003690037
1647.0,61.2,10.0,364.2987249544626
1619.0,61.2,10.0,370.59913526868434
1615.0,62.8,10.0,371.5170278637771
1642.0,62.8,10.0,365.4080389768575
1588.0,62.8,10.0,377.8337531486146
1604.0,62.8,10.0,374.0648379052369
1631.0,64.6,10.0,367.87247087676275
1631.0,64.6,10.0,367.87247087676275
1642.0,64.6,10.0,365.4080389768575
1674.0,64.6,10.0,358.42293906810033
1653.0,66.0,10.0,362.9764065335753
1695.0,66.0,10.0,353.98230088495575
1679.0,66.0,10.0,357.355568790947
1685.0,66.0,10.0,356.0830860534125
1691.0,67.2,10.0,354.8196333530455
